ledger_id,event_id,team,status,destination,evidence,next_action
AIOL-1001,evt-9001,Sales,accepted,owner-review-queue,owner metric approval and dry-run route are present,review lead-routing slice before CRM preview
AIOL-1002,evt-9002,Customer Success,accepted,owner-review-queue,renewal-risk triage has owner metric approval and no live action,review CS signal before support-system preview
AIOL-1003,evt-9003,Marketing,accepted,owner-review-queue,campaign learning loop has owner metric approval and no live action,review next-test queue before destination mapping
AIOL-1004,evt-9004,Support,review,owner-review-queue,reply-draft request is approved but lacks a success metric,define quality target before any reply draft sprint
AIOL-1005,evt-9005,Finance,blocked,blocked-action-queue,billing exception row contains sensitive data boundary risk,redact financial details and retry with synthetic event
AIOL-1006,evt-9006,RevOps,blocked,blocked-action-queue,live Salesforce write requested without approval,convert to draft-only CRM preview and owner approval
AIOL-1007,evt-9007,Product,accepted,owner-review-queue,adoption signal has owner metric approval and no live action,review product-to-CS routing criteria
AIOL-1008,evt-9008,Operations,blocked,blocked-action-queue,company-wide instructions requested without success metric or approval,turn into internal rollout checklist first
AIOL-1009,evt-9009,Analytics,accepted,scorecard-preview,metric digest has owner metric approval and no live action,prepare weekly scorecard preview
AIOL-1010,evt-9010,Unknown,error,error-log,source team is unknown and request is screenshot-only,request structured source row before scoping
